srcID,destID,airlineID,Source Airport,Source Country,Dest Airport,Source Country,Airline Name,Airline Country,Distance (km)
2877,2899,16475,DOM,Dominica,SXM,Netherlands Antilles,TUR European Airways,Turkey,338
2899,2877,16475,SXM,Netherlands Antilles,DOM,Dominica,TUR European Airways,Turkey,338
1165,1187,1531,KGL,Rwanda,EBB,Uganda,SN Brussels Airlines,Belgium,340
6460,2890,18529,SBH,France,SJU,Puerto Rico,,United States,340
2890,6460,18529,SJU,Puerto Rico,SBH,France,,United States,340
609,351,4319,CPH,Denmark,TXL,Germany,SAS Scandinavian Airlines,Sweden,343
351,609,4319,TXL,Germany,CPH,Denmark,SAS Scandinavian Airlines,Sweden,343
1863,1892,2622,MGA,Nicaragua,SAL,El Salvador,TACA,Costa Rica,345
1892,1863,2622,SAL,El Salvador,MGA,Nicaragua,TACA,Costa Rica,345
2895,2868,18944,AUA,Aruba,VLN,Venezuela,,Netherlands Antilles,347
2868,2895,18944,VLN,Venezuela,AUA,Aruba,,Netherlands Antilles,347
2188,2194,4089,DXB,United Arab Emirates,MCT,Oman,Qantas Airways,Australia,348
2194,2188,4089,MCT,Oman,DXB,United Arab Emirates,Qantas Airways,Australia,348
3043,3069,19676,CCU,India,CGP,Bangladesh,Rainbow Air POL,United States,349
3069,3043,19676,CGP,Bangladesh,CCU,India,Rainbow Air POL,United States,349
628,644,4319,AAL,Denmark,OSL,Norway,SAS Scandinavian Airlines,Sweden,352
644,628,4319,OSL,Norway,AAL,Denmark,SAS Scandinavian Airlines,Sweden,352
1897,1754,14849,PAP,Haiti,PLS,Turks and Caicos Islands,,Italy,355
1754,1897,14849,PLS,Turks and Caicos Islands,PAP,Haiti,,Italy,355
1354,1520,2297,NCE,France,OLB,Italy,EasyJet Airline,United Kingdom,361
1520,1354,2297,OLB,Italy,NCE,France,EasyJet Airline,United Kingdom,361
1767,1776,18169,GUA,Guatemala,TGU,Honduras,,United States,361
1776,1767,18169,TGU,Honduras,GUA,Guatemala,,United States,361
609,337,2297,CPH,Denmark,SXF,Germany,EasyJet Airline,United Kingdom,364
337,609,2297,SXF,Germany,CPH,Denmark,EasyJet Airline,United Kingdom,364
891,970,10128,SSG,Equatorial Guinea,LBV,Gabon,Dennis Sky Holding,Israel,375
1606,1157,2183,MLA,Malta,TIP,Libya,Emirates Airlines,United Arab Emirates,375
353,609,4319,BRE,Germany,CPH,Denmark,SAS Scandinavian Airlines,Sweden,380
609,353,4319,CPH,Denmark,BRE,Germany,SAS Scandinavian Airlines,Sweden,380
6079,2890,18529,NEV,Saint Kitts and Nevis,SJU,Puerto Rico,,United States,386
2890,6079,18529,SJU,Puerto Rico,NEV,Saint Kitts and Nevis,,United States,386
6079,2890,16475,NEV,Saint Kitts and Nevis,SJU,Puerto Rico,TUR European Airways,Turkey,386
